Santos FC,Santos FC,46,"23,0",5,"68,00 Mill. €","1,48 Mill. €",First Tier -  Brazil
Grêmio Foot-Ball Porto Alegrense,Grêmio,59,"24,5",2,"67,60 Mill. €","1,15 Mill. €",First Tier -  Brazil
Clube de Regatas do Flamengo,Flamengo,48,"23,8",7,"67,38 Mill. €","1,40 Mill. €",First Tier -  Brazil
Cruzeiro Esporte Clube,Cruzeiro,51,"24,0",5,"62,25 Mill. €","1,22 Mill. €",First Tier -  Brazil
Sport Club Corinthians Paulista,Corinthians,54,"24,3",6,"61,40 Mill. €","1,14 Mill. €",First Tier -  Brazil
Clube Atlético Mineiro,Atlético-MG,51,"23,3",6,"61,35 Mill. €","1,20 Mill. €",First Tier -  Brazil
Sport Club Internacional,Internacional,46,"24,2",7,"55,75 Mill. €","1,21 Mill. €",First Tier -  Brazil
Esporte Clube Vitória,EC Vitória,61,"23,5",6,"43,90 Mill. €",720 Th. €,First Tier -  Brazil
Club de Regatas Vasco da Gama,Vasco da Gama,55,"23,9",7,"41,58 Mill. €",756 Th. €,First Tier -  Brazil
Atlético Paranaense,Atlético-PR,52,"24,0",3,"37,65 Mill. €",724 Th. €,First Tier -  Brazil
Esporte Clube Bahia,EC Bahia,48,"23,2",2,"34,90 Mill. €",727 Th. €,First Tier -  Brazil
Associação Chapecoense de Futebol,Chapecoense,52,"24,8",5,"32,03 Mill. €",616 Th. €,First Tier -  Brazil
Sport Club do Recife,Sport Recife,47,"24,1",1,"30,95 Mill. €",659 Th. €,First Tier -  Brazil
Fluminense Football Club,Fluminense,58,"22,5",4,"30,80 Mill. €",531 Th. €,First Tier -  Brazil
América Futebol Clube (MG),América-MG,51,"24,8",0,"27,35 Mill. €",536 Th. €,First Tier -  Brazil
Ceará Sporting Club,Ceará SC,54,"26,0",2,"26,95 Mill. €",499 Th. €,First Tier -  Brazil
Botafogo Rio de Janeiro,Botafogo,45,"23,1",4,"25,55 Mill. €",568 Th. €,First Tier -  Brazil
Paraná Clube,Paraná,60,"22,9",3,"18,48 Mill. €",308 Th. €,First Tier -  Brazil
Club Atlético Boca Juniors,Boca Juniors,26,"26,9",6,"118,33 Mill. €","4,55 Mill. €",First Tier -  Argentina
Club Atlético River Plate,River Plate,23,"28,7",4,"104,95 Mill. €","4,56 Mill. €",First Tier -  Argentina
Club Atlético Independiente,Independiente,22,"27,3",6,"61,20 Mill. €","2,78 Mill. €",First Tier -  Argentina
Racing Club,Racing Club,30,"27,7",4,"59,18 Mill. €","1,97 Mill. €",First Tier -  Argentina
Club Atlético Vélez Sarsfield,Vélez Sarsfield,27,"25,2",5,"48,53 Mill. €","1,80 Mill. €",First Tier -  Argentina
Club Social y Deportivo Defensa y Justicia,Defensa,27,"25,9",5,"42,38 Mill. €","1,57 Mill. €",First Tier -  Argentina
Club Atlético San Lorenzo de Almagro,San Lorenzo,31,"26,6",3,"36,95 Mill. €","1,19 Mill. €",First Tier -  Argentina
Club Atlético Talleres,CA Talleres,26,"26,2",6,"35,43 Mill. €","1,36 Mill. €",First Tier -  Argentina
Club Deportivo Godoy Cruz Antonio Tomba,Godoy Cruz,23,"24,4",5,"33,78 Mill. €","1,47 Mill. €",First Tier -  Argentina
Club Atlético Lanús,Lanús,27,"26,1",3,"32,43 Mill. €","1,20 Mill. €",First Tier -  Argentina
Club Atlético Huracán,Huracán,25,"29,1",5,"24,90 Mill. €",996 Th. €,First Tier -  Argentina
Club Atlético Rosario Central,CA Rosario,25,"27,7",4,"23,35 Mill. €",934 Th. €,First Tier -  Argentina
Club Atlético Colón,Colón,23,"27,7",4,"19,68 Mill. €",855 Th. €,First Tier -  Argentina
Club Estudiantes de La Plata,Estudiantes,25,"27,1",3,"19,00 Mill. €",760 Th. €,First Tier -  Argentina
Club Atlético Unión (Santa Fe),Unión (SF),19,"27,3",2,"18,40 Mill. €",968 Th. €,First Tier -  Argentina
Asociación Atlética Argentinos Juniors,Argentinos,30,"25,9",5,"18,23 Mill. €",608 Th. €,First Tier -  Argentina
Club Atlético Banfield,CA Banfield,21,"25,9",1,"17,63 Mill. €",839 Th. €,First Tier -  Argentina
Club Atlético Tigre,Tigre,25,"29,0",1,"17,45 Mill. €",698 Th. €,First Tier -  Argentina
Club Atlético Belgrano,Belgrano,26,"26,8",3,"17,05 Mill. €",656 Th. €,First Tier -  Argentina
Club Atlético Newell's Old Boys,Newell's,29,"26,9",5,"16,60 Mill. €",572 Th. €,First Tier -  Argentina
Club Atlético Tucumán,CA Tucumán,26,"29,4",3,"14,88 Mill. €",572 Th. €,First Tier -  Argentina
